profile_id,condition,cable_length_mm,session_id,date,operator,vna_instrument,calibration_type,num_files,mean_max_insertion_loss_db,worst_max_insertion_loss_db,mean_min_return_loss_db
alphawire_36awg,1010mm,1010.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-18.54,-18.54,-2.0558
alphawire_36awg,1200mm,1200.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-19.5758,-19.5758,-2.7366
alphawire_36awg,500mm,500.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-15.583,-15.583,-1.588
alphawire_36awg,740mm,740.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-20.3463,-20.3463,-1.5207
coax_molex_1000650128,1025mm,1025.0,20260618_01,2026-06-18,Federico,PicoVNA 106,SOLT,1,-20.2075,-20.2075,-1.9475
coax_molex_1000650128,1500mm,1500.0,20260618_01,2026-06-18,Federico,PicoVNA 106,SOLT,1,-23.584,-23.584,-2.9657
coax_molex_1000650128,170mm,170.0,20260618_01,2026-06-18,Federico,PicoVNA 106,SOLT,1,-10.1116,-10.1116,-1.7694
coax_molex_1000650128,2400mm,2400.0,20260624_01,2026-06-24,Federico,PicoVNA 106,SOLT,1,-33.5937,-33.5937,-2.554
coax_molex_1000650128,500mm,500.0,20260618_01,2026-06-18,Federico,PicoVNA 106,SOLT,1,-14.851,-14.851,-1.5654
cooner_wire_cw8251,1120mm,1120.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-22.5947,-22.5947,-3.8999
cooner_wire_cw8251,1500mm,1500.0,20260708_01,2026-07-08,Federico,PicoVNA 106,SOLT,1,-22.6296,-22.6296,-2.2286
cooner_wire_cw8251,2000mm,2000.0,20260707_01,2026-07-07,Federico,PicoVNA 106,SOLT,1,-36.4239,-36.4239,-3.5541
cooner_wire_cw8251,2500mm,2500.0,20260717_01,2026-07-17,Federico,PicoVNA 106,SOLT,1,-30.1797,-30.1797,-2.274
cooner_wire_cw8251,3000mm,3000.0,20260717_01,2026-07-17,Federico,PicoVNA 106,SOLT,1,-32.8532,-32.8532,-1.7764
cooner_wire_cw8251,500mm,500.0,20260708_01,2026-07-08,Federico,PicoVNA 106,SOLT,1,-15.5929,-15.5929,-1.9944
